                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.59087,                 0.3942,                 1.0254,                0.98595,                 0.9943,                  0.995,                0.79145,                0.77311,                0.36656,                  1.272,              0.0089209,              0.0089209,              0.0089209
                    111,                0.59539,                0.38783,                 1.0268,                 0.9773,                0.97958,                 0.9948,                0.78461,                0.78281,                0.39385,                 1.2839,               0.008911,               0.008911,               0.008911
                    112,                0.59818,                0.39578,                 1.0225,                0.98437,                      1,                  0.995,                0.79577,                 0.7579,                0.35939,                 1.2323,              0.0089011,              0.0089011,              0.0089011
                    113,                0.60548,                0.40095,                 1.0392,                0.95612,                0.99156,                0.99341,                0.82059,                0.71142,                0.36963,                 1.1627,              0.0088912,              0.0088912,              0.0088912
                    114,                0.60036,                0.39699,                 1.0224,                0.98959,                0.99326,                 0.9948,                0.78565,                0.77486,                0.38795,                 1.2644,              0.0088813,              0.0088813,              0.0088813
                    115,                 0.5941,                0.39484,                 1.0303,                 0.9721,                 0.9875,                0.99384,                0.80823,                0.72121,                0.33771,                 1.1763,              0.0088714,              0.0088714,              0.0088714
                    116,                0.58411,                0.37806,                 1.0161,                0.98205,                0.99155,                0.99404,                0.81585,                0.71291,                0.34957,                 1.1706,              0.0088615,              0.0088615,              0.0088615
                    117,                0.60539,                0.39666,                  1.027,                0.98165,                0.99301,                 0.9948,                0.79688,                0.75686,                0.36467,                 1.2332,              0.0088516,              0.0088516,              0.0088516
                    118,                0.58367,                0.38369,                 1.0163,                0.98088,                0.99346,                 0.9948,                0.78957,                0.79375,                0.37133,                 1.2882,              0.0088417,              0.0088417,              0.0088417
                    119,                0.59539,                0.38438,                 1.0291,                0.97489,                 0.9827,                 0.9946,                0.78461,                  0.758,                0.40616,                 1.2382,              0.0088318,              0.0088318,              0.0088318
                    120,                0.60366,                0.39724,                 1.0341,                0.97545,                0.99583,                0.99206,                0.79652,                0.73332,                0.35939,                 1.2349,              0.0088219,              0.0088219,              0.0088219
                    121,                0.57769,                0.38813,                 1.0209,                0.98553,                 0.9941,                0.99381,                0.79327,                0.74426,                0.36538,                 1.1943,               0.008812,               0.008812,               0.008812
                    122,                0.59513,                0.38643,                  1.023,                0.98329,                 0.9958,                  0.995,                0.78505,                0.81077,                0.39906,                 1.3359,              0.0088021,              0.0088021,              0.0088021
                    123,                0.58475,                0.38472,                 1.0214,                0.98551,                 0.9929,                  0.995,                0.77427,                0.78589,                0.36928,                 1.2962,              0.0087922,              0.0087922,              0.0087922
                    124,                0.58009,                0.37968,                 1.0139,                0.98945,                      1,                  0.995,                0.75992,                 0.8589,                0.41229,                 1.3667,              0.0087823,              0.0087823,              0.0087823
                    125,                0.57954,                0.38141,                 1.0174,                0.98697,                      1,                  0.995,                0.79283,                 0.7578,                0.37449,                 1.2472,              0.0087724,              0.0087724,              0.0087724
                    126,                0.59199,                0.37858,                 1.0225,                0.99362,                0.99337,                  0.995,                0.77236,                0.87073,                0.36261,                 1.4055,              0.0087625,              0.0087625,              0.0087625
                    127,                 0.5816,                0.38151,                 1.0125,                0.99151,                0.99776,                  0.995,                0.77379,                0.84577,                0.37763,                 1.3743,              0.0087526,              0.0087526,              0.0087526
                    128,                0.58518,                0.37734,                 1.0249,                0.99087,                0.99787,                  0.995,                0.78932,                0.79305,                0.36302,                 1.2835,              0.0087427,              0.0087427,              0.0087427
                    129,                0.58391,                0.37449,                 1.0187,                0.98244,                      1,                0.99401,                0.81956,                0.68531,                0.33064,                  1.193,              0.0087328,              0.0087328,              0.0087328
                    130,                0.58339,                0.37482,                 1.0134,                0.98708,                0.99662,                  0.995,                  0.793,                0.77735,                0.34053,                 1.2739,              0.0087229,              0.0087229,              0.0087229
                    131,                0.56702,                0.38096,                 1.0108,                0.98711,                0.99282,                  0.995,                0.78814,                0.77746,                0.38788,                 1.2934,               0.008713,               0.008713,               0.008713
                    132,                0.57201,                0.38052,                 1.0125,                0.98838,                0.99682,                  0.995,                0.77658,                0.80813,                0.36953,                 1.3553,              0.0087031,              0.0087031,              0.0087031
                    133,                0.56781,                0.36739,                 1.0123,                 0.9828,                0.98896,                 0.9948,                0.79256,                0.75431,                0.34785,                 1.2994,              0.0086932,              0.0086932,              0.0086932
